GR,NPHI,RHOZ,DT,VCL,PHIE,DEPO_FACIES
109.7673,0.1821,2.5764,79.9657,0.5701,0.0806,1
111.1775,0.1823,2.5749,79.9336,0.5747,0.0816,1
112.2876,0.1828,2.5735,79.9837,0.5797,0.082,1
112.6692,0.1839,2.5728,80.3068,0.5897,0.0799,1
113.1149,0.1845,2.5727,80.6581,0.5947,0.0754,1
113.6247,0.1848,2.5734,81.0374,0.5946,0.0684,1
114.5909,0.1827,2.5767,81.112,0.5129,0.059,1
114.3065,0.1788,2.581,80.9582,0.4663,0.0515,1
112.4764,0.1728,2.5865,80.5366,0.4658,0.0464,1
106.9492,0.1635,2.5933,79.8186,0.3139,0.0397,1
101.5663,0.1533,2.6007,79.0251,0.2148,0.0369,1
96.8821,0.142,2.6088,78.1571,0.2148,0.0402,1
87.2497,0.1308,2.6177,77.0668,0.1477,0.0399,1
79.7026,0.1205,2.6267,75.7801,0.0981,0.0402,1
77.2816,0.1118,2.6357,74.1848,0.0981,0.0424,1
73.1052,0.1054,2.6428,72.3739,0.0449,0.0426,1
69.2372,0.1006,2.6481,70.6372,0,0.0438,1
66.928,0.0982,2.6502,69.1766,0,0.0485,1
63.4796,0.0982,2.6463,68.5006,0.0428,0.0524,1
61.2474,0.0998,2.638,68.3371,0.0926,0.0548,2
63.3912,0.1044,2.6219,69.0027,0.1279,0.0533,2
67.2118,0.1116,2.5973,70.249,0.1526,0.0555,2
71.2786,0.1203,2.5678,71.7946,0.171,0.0611,2
73.9388,0.1312,2.5317,73.6586,0.1804,0.0742,2
75.7742,0.1429,2.496,75.6519,0.1814,0.0922,2
77.0426,0.1547,2.4619,77.7065,0.1779,0.1123,2
77.3716,0.1656,2.4357,79.7633,0.172,0.1315,2
77.2307,0.1747,2.4172,81.6299,0.1656,0.1482,2
76.8049,0.1825,2.4043,83.3278,0.1582,0.1625,2
76.2128,0.1874,2.3995,84.5273,0.1464,0.1688,2
75.461,0.1912,2.397,85.4087,0.1326,0.1723,2
74.5738,0.1941,2.396,86.0561,0.1166,0.1738,2
73.3041,0.196,2.3947,86.4999,0.0913,0.1745,2
71.6684,0.1978,2.3925,87.0616,0.0714,0.1753,2
69.7242,0.1997,2.3896,87.7342,0.0566,0.1762,2
67.9333,0.2022,2.3862,88.9216,0.0601,0.1777,2
66.8298,0.2046,2.3826,90.3868,0.0619,0.1799,2
66.4416,0.2069,2.3786,92.1412,0.0619,0.1827,2
66.5568,0.2086,2.3731,94.1774,0.0764,0.1866,2
67.0121,0.2101,2.3674,96.1348,0.0847,0.1909,2
67.8805,0.2112,2.3616,97.9806,0.0847,0.1959,2
68.41,0.2109,2.3578,99.2235,0.0785,0.1989,2
68.5479,0.21,2.3559,100.0772,0.0745,0.2001,2
68.1427,0.2081,2.3565,100.4257,0.0745,0.1988,2
67.9126,0.2061,2.3597,100.1307,0.0737,0.1962,2
67.7594,0.2041,2.3628,99.5425,0.0731,0.1934,2
67.7006,0.2025,2.365,98.5883,0.073,0.1908,2
67.6684,0.2016,2.3638,97.2109,0.0604,0.1905,2
67.3401,0.2013,2.361,95.5975,0.0497,0.1912,2
66.3072,0.2019,2.3558,93.65,0.0497,0.1928,2
65.7945,0.203,2.3512,91.568,0.0719,0.1946,2
66.0216,0.2043,2.3478,89.5478,0.0947,0.1966,2
68.0282,0.2057,2.3472,87.8262,0.1005,0.199,2
69.3095,0.2068,2.3487,86.7419,0.1017,0.2002,2
70.1371,0.2077,2.3509,86.0699,0.0951,0.2009,2
70.2226,0.2079,2.3522,86.1038,0.0638,0.2013,2
68.6484,0.2079,2.3512,86.4348,0.0486,0.2012,2
66.4964,0.2076,2.3487,86.8975,0.041,0.201,2
65.4114,0.2067,2.3441,87.3173,0.0333,0.202,2
64.5582,0.2054,2.339,87.6242,0.0336,0.2032,2
63.9531,0.204,2.3336,87.859,0.0381,0.2046,2
64.2537,0.2027,2.3281,88.0467,0.0385,0.2065,2
64.4296,0.2017,2.3228,88.226,0.032,0.2082,2
64.4539,0.2009,2.3178,88.3903,0.0227,0.2098,2
63.5197,0.2004,2.3145,88.4145,0.0454,0.2101,2
64.0641,0.2001,2.3125,88.2795,0.0571,0.2105,2
65.8536,0.2,2.3118,88.0061,0.0597,0.2111,2
66.2088,0.2,2.3143,87.472,0.0766,0.2099,2
67.1138,0.2,2.3181,86.9361,0.0852,0.2085,2
68.5909,0.2,2.3233,86.3985,0.0852,0.2069,2
68.7132,0.2,2.3286,86.1473,0.0904,0.2056,2
68.9642,0.1998,2.3322,86.0887,0.0934,0.2053,2
69.4511,0.1994,2.3338,86.2597,0.0934,0.2062,2
69.478,0.1992,2.3313,86.686,0.073,0.2083,2
68.6849,0.199,2.3279,87.1538,0.0595,0.2095,2
66.6717,0.199,2.3236,87.6517,0.0595,0.2092,2
66.4384,0.1992,2.3212,88.0571,0.0669,0.2085,2
66.715,0.1997,2.3203,88.3999,0.0725,0.2077,2
67.465,0.2009,2.3216,88.648,0.0725,0.207,2
67.5568,0.2029,2.3245,88.773,0.0666,0.2057,2
67.3769,0.2054,2.3286,88.7957,0.0659,0.2037,2
66.8997,0.2085,2.3341,88.6428,0.0803,0.2005,2
67.7829,0.212,2.3429,88.1633,0.0907,0.1962,2
69.0621,0.2159,2.3544,87.4733,0.1084,0.1909,2
70.3105,0.2205,2.3714,86.4445,0.1518,0.1832,2
73.3884,0.2248,2.3928,85.2726,0.1821,0.176,2
76.9989,0.229,2.4159,84.074,0.2146,0.1694,2
79.8937,0.2326,2.4387,82.9908,0.2759,0.1647,2
84.8467,0.2353,2.4562,82.0965,0.3454,0.1637,2
90.8639,0.2374,2.4698,81.3118,0.4159,0.1653,2
97.4231,0.2383,2.475,80.6449,0.4691,0.1721,2
101.7935,0.2382,2.4764,79.9574,0.4653,0.1693,2
104.1364,0.2374,2.4752,79.2592,0.4257,0.1622,2
99.8009,0.236,2.4718,78.5729,0.3653,0.1657,2
94.9426,0.2341,2.4682,78.0183,0.3175,0.1706,2
89.8518,0.232,2.4645,77.5776,0.2805,0.176,2
87.0478,0.2295,2.4619,77.4292,0.2674,0.1736,2
85.343,0.2273,2.4601,77.3787,0.2606,0.1711,2
84.6178,0.2253,2.4589,77.4162,0.2595,0.1687,2
84.4022,0.2241,2.4573,77.5482,0.2526,0.1688,2
84.0437,0.2233,2.4541,77.7702,0.2485,0.1699,2
83.5305,0.223,2.4492,78.0899,0.2474,0.1721,2
84.3942,0.2237,2.4396,78.7283,0.2718,0.177,2
85.7152,0.2248,2.4283,79.5381,0.2881,0.1843,2
87.5453,0.2264,2.4149,80.5492,0.293,0.1944,2
85.7523,0.2284,2.3998,81.7146,0.246,0.2041,2
82.9973,0.2305,2.3848,82.8726,0.2095,0.2113,2
79.2979,0.2326,2.37,83.9953,0.197,0.2145,2
77.4108,0.2343,2.3569,84.9603,0.1661,0.2198,2
75.5503,0.2355,2.3457,85.8085,0.1404,0.2242,2
73.1687,0.2359,2.3374,86.48,0.1308,0.2264,2
73.6243,0.2354,2.335,86.8134,0.1461,0.2281,2
74.9795,0.2346,2.3362,86.9254,0.166,0.2304,2
77.0124,0.2335,2.3436,86.677,0.184,0.2344,2
79.4025,0.2323,2.357,86.1132,0.2169,0.2359,2
82.4147,0.2311,2.3735,85.4215,0.2584,0.235,2
87.0595,0.2298,2.394,84.6227,0.3131,0.2288,2
93.0637,0.2293,2.4156,83.9629,0.3872,0.2164,2
99.5541,0.229,2.4368,83.4339,0.4628,0.1995,2
105.8743,0.229,2.4553,83.2111,0.5146,0.1746,2
109.7628,0.2296,2.4694,83.1858,0.5491,0.1556,2
112.2726,0.2305,2.4803,83.2734,0.5728,0.1408,2
113.7562,0.2318,2.4861,83.4488,0.5842,0.1326,2
115.0461,0.2334,2.4897,83.6871,0.6003,0.1268,2
116.1309,0.2352,2.4917,83.9937,0.6157,0.1214,2
116.4401,0.2372,2.4914,84.5682,0.5988,0.1069,2
113.253,0.2386,2.4882,85.3569,0.5453,0.1076,2
107.3144,0.2397,2.4823,86.3009,0.4634,0.12,2
97.2026,0.2394,2.4676,87.2511,0.3469,0.1449,2
88.2239,0.2383,2.4484,87.9393,0.2641,0.1589,2
80.25,0.2367,2.4253,88.3952,0.2113,0.1631,2
78.1118,0.2337,2.4015,88.2546,0.1659,0.1688,2
74.4484,0.2306,2.3815,88.0034,0.1249,0.1755,2
69.1326,0.2272,2.3657,87.6323,0.0886,0.1835,2
69.0455,0.224,2.3599,87.3035,0.0899,0.1914,2
69.2813,0.2212,2.3579,86.9331,0.0926,0.198,2
69.6563,0.2189,2.3603,86.5052,0.0953,0.2029,2
70.8141,0.2179,2.3652,85.7659,0.1208,0.2032,2
73.055,0.2176,2.3713,84.9265,0.1489,0.2038,2
76.9366,0.218,2.3788,83.9742,0.1771,0.2057,2
81.2425,0.2197,2.3891,83.3727,0.2685,0.2047,2
89.3633,0.2222,2.4007,83.1486,0.375,0.1951,2
104.7555,0.2257,2.4139,83.546,0.491,0.1698,2
108.9803,0.2298,2.4266,84.7293,0.5446,0.1558,2
111.8316,0.2342,2.4382,86.2343,0.5826,0.1388,2
117.7335,0.239,2.4471,88.0758,0.6183,0.108,2
117.725,0.2431,2.4525,89.7382,0.6241,0.1029,2
116.9316,0.2463,2.4563,91.1785,0.6252,0.1023,2
119.5632,0.2474,2.4582,92.0944,0.6408,0.0906,2
119.5329,0.246,2.4607,92.4681,0.6434,0.0874,2
118.9225,0.2429,2.4639,92.5096,0.6419,0.0861,2
120.2514,0.2371,2.4691,92.0344,0.6447,0.079,2
118.8814,0.2301,2.476,91.1466,0.626,0.0836,2
116.1593,0.2225,2.484,89.9695,0.5958,0.0953,2
113.2975,0.215,2.4929,88.2635,0.5588,0.1142,2
109.3874,0.2084,2.5019,86.2777,0.5192,0.1266,2
105.1652,0.2025,2.5109,84.1258,0.4809,0.1336,2
103.9168,0.1983,2.5203,82.0215,0.4692,0.127,2
103.2075,0.1953,2.5305,80.2614,0.464,0.1176,2
102.9589,0.1933,2.5413,78.8037,0.464,0.1061,2
103.7367,0.1932,2.554,78.1581,0.4695,0.0953,2
103.8739,0.194,2.5663,77.8965,0.4701,0.0872,2
103.42,0.1958,2.5781,77.9891,0.4662,0.0816,2
104.4463,0.1992,2.5839,78.5039,0.4762,0.0842,2
106.2882,0.2031,2.5843,79.0883,0.4964,0.0904,2
109.0137,0.2074,2.5788,79.7481,0.5276,0.1005,2
110.2188,0.2117,2.5675,80.4456,0.5341,0.112,2
111.335,0.2158,2.5566,81.1598,0.5454,0.1216,2
112.4395,0.2196,2.5469,81.8934,0.5646,0.1285,2
112.0349,0.2228,2.5397,82.642,0.5651,0.1306,2
111.6,0.226,2.532,83.2867,0.5614,0.1322,2
111.3895,0.2293,2.5233,83.7592,0.5544,0.134,2
111.4893,0.2342,2.5135,83.7666,0.5536,0.1349,2
111.6551,0.2401,2.5048,83.6732,0.5543,0.1354,2
111.8525,0.2477,2.4987,83.5291,0.5557,0.135,2
113.9124,0.254,2.4962,83.6081,0.559,0.1348,2
115.5866,0.2581,2.4941,83.77,0.5688,0.1323,2
115.1458,0.2575,2.4904,84.0102,0.5945,0.1239,2
113.735,0.2508,2.4795,84.2161,0.6006,0.1173,2
111.9249,0.2412,2.4641,84.3925,0.5949,0.1147,2
109.8203,0.2288,2.442,84.51,0.5719,0.123,2
105.2209,0.2182,2.4194,84.567,0.5061,0.1284,2
98.9824,0.2096,2.3984,84.5714,0.4078,0.1336,2
90.1,0.2061,2.3853,84.4563,0.2458,0.1427,2
81.3918,0.2064,2.3817,84.2704,0.157,0.1573,2
73.6991,0.2091,2.3845,84.0351,0.1279,0.1735,2
71.6925,0.2152,2.3969,83.7205,0.2333,0.1826,2
74.6986,0.2218,2.4101,83.4038,0.3285,0.1833,2
81.2236,0.2286,2.4234,83.093,0.4234,0.179,2
92.263,0.2345,2.4323,82.8539,0.5783,0.1759,2
102.6802,0.2401,2.4391,82.7167,0.6131,0.1751,2
112.4268,0.2454,2.4443,82.666,0.5582,0.1761,2
117.3479,0.2506,2.4489,82.8423,0.5273,0.1802,2
117.8216,0.2551,2.4526,83.1158,0.5125,0.1827,2
114.19,0.2589,2.4555,83.479,0.5125,0.1838,2
109.909,0.2597,2.4524,84.0081,0.4598,0.1835,2
107.64,0.2587,2.4412,84.4045,0.3873,0.1619,3
107.64,0.2555,2.421,84.6512,0.2923,0.1163,3
97.6495,0.2498,2.3982,84.5714,0.2545,0.0937,3
88.9996,0.2434,2.3799,84.54,0.2343,0.0862,3
82.9272,0.2363,2.3681,84.599,0.2343,0.0977,3
81.9055,0.2297,2.3629,84.9794,0.2155,0.0996,3
80.2018,0.2238,2.3599,85.3475,0.1913,0.1064,3
76.4698,0.2188,2.3595,85.637,0.1619,0.123,3
75.0991,0.2156,2.3623,85.3717,0.1521,0.1322,3
74.5031,0.2134,2.3667,84.8247,0.1479,0.1404,3
74.6339,0.2127,2.3733,83.9051,0.1479,0.1491,3
74.9495,0.213,2.3804,83.0456,0.1499,0.1573,3
75.1271,0.2137,2.3875,82.3574,0.1524,0.1643,3
74.8311,0.215,2.3945,82.0709,0.1552,0.1687,3
75.3312,0.2162,2.4011,82.2506,0.1537,0.1723,3
76.1793,0.2172,2.4076,82.6642,0.1537,0.1744,3
77.3504,0.2177,2.4139,83.3678,0.1632,0.1724,3
77.9638,0.2175,2.4199,84.0735,0.1751,0.1703,3
78.6293,0.2168,2.4257,84.7166,0.188,0.1675,3
80.5701,0.2155,2.4305,85.0706,0.2017,0.1618,3
82.5978,0.2142,2.4348,85.1302,0.2254,0.1538,3
84.6554,0.2129,2.439,85.0086,0.254,0.1441,3
86.6227,0.2119,2.4438,84.705,0.2809,0.1309,3
88.7464,0.2116,2.4496,84.3615,0.3097,0.1151,3
90.9871,0.2118,2.4559,83.9602,0.34,0.0981,3
93.3988,0.2134,2.4622,83.233,0.374,0.0854,3
95.37,0.2155,2.4673,82.1854,0.3914,0.0748,3
96.9326,0.2181,2.4716,80.8764,0.3962,0.0661,3
96.9984,0.2201,2.4742,79.3385,0.4112,0.0626,3
97.9137,0.2213,2.4755,78.0015,0.4231,0.0615,3
99.613,0.2217,2.4756,76.85,0.4322,0.0628,3
100.2097,0.2207,2.473,76.386,0.4289,0.0638,3
100.1452,0.2196,2.4703,76.1446,0.4246,0.0689,3
99.3478,0.2185,2.4675,76.1463,0.4193,0.0784,3
99.2011,0.2185,2.4664,76.2321,0.4002,0.0977,3
96.7443,0.2193,2.4654,76.3234,0.3683,0.1124,3
91.0404,0.2208,2.4643,76.4148,0.3201,0.1198,3
89.9994,0.2233,2.4631,76.5714,0.3159,0.1216,3
89.9426,0.2259,2.462,76.7379,0.3192,0.1224,3
90.6795,0.2287,2.4613,76.909,0.3268,0.1225,3
90.8289,0.2307,2.4609,76.9549,0.3281,0.1228,3
91.2011,0.232,2.4604,76.921,0.3312,0.1223,3
92.2668,0.2319,2.4593,76.7643,0.3407,0.1197,3
92.5116,0.2303,2.4578,76.5679,0.3447,0.118,3
